"#Report name","Broadcast RCs by popularity - Browsers"
"#Site","broadcastredbutton"
"#Reporting period","01-09-2018 until 30-09-2018"
"#Segment","All browsers"
"#Visit filter","All visits"
"#Event filter","All events"

"#Broadcast MHEG RCs by Popularity - Browsers"

"action_type","rc_transition"
"action_name","transition"

"destination_rc","Browsers"
"/d/r/ne/1fd","30,363"
"/tier1/rc/ne/NewsPolitics","30,358"
"/d/r/sp/8f","30,213"
"/tier1/rc/sp/SportCricketHeadlines","30,164"
"/tier1/rc/sp/98SimpleStory4","30,097"
"/d/r/sp/15a","30,092"
"/tier1/rc/ne/NewsUKRegionsWales","30,080"
"/tier1/rc/en/03SimpleStory0","30,077"
"/tier1/rc/ne/NewsUKRegionsScotland","30,062"
"/d/r/ne/5a","30,022"
"/tier1/rc/ne/NewsSciTech","29,981"
"/d/r/ne/75","29,817"
"/c/tvIp_B1_WA","29,776"
"/d/r/ne/1b7","29,623"
"/d/r/ne/ac","29,596"
"/d/r/sp/29c","29,549"
"/d/r/ne/29d","29,339"
"/tier1/rc/sp/SportGolf","29,259"
"/tier1/rc/ne/BusinessNewsTopStory","29,187"
"/d/r/ne/283","29,134"
"/tier1/rc/ne/NewsTechnology","29,069"
"/d/r/ne/1c0","28,938"
"/d/r/sp/e7","28,893"
"/d/r/ne/IKU","28,792"
"/d/r/sp/HKV","28,772"
"/d/r/ne/1d8","28,681"
"/d/r/tr/3e4","28,652"
"/tier1/rc/sp/SportRugbyUnion","28,625"
"/d/r/ne/b7","28,513"
"/tier1/rc/sp/108SimpleStory1","28,485"
"/d/r/ne/5b","28,364"
"/tier1/rc/sp/108SimpleStory2","28,285"
"/d/r/ne/5c","28,077"
"/d/r/sp/6c","28,055"
"/d/r/ne/79","27,904"
"/tier1/rc/sp/95SimpleStory3","27,880"
"/d/r/sp/HJO","27,773"
"/tier1/rc/ne/14SimpleStory4","27,752"
"/d/r/ne/f3","27,734"
"/d/r/sp/322","27,604"
"/d/r/ne/179","27,573"
"/d/r/ne/286","27,565"
"/tier1/rc/sp/95SimpleStory4","27,497"
"/d/r/ne/1b2","27,477"
