"#Report name","Broadcast RCs by popularity - Browsers"
"#Site","broadcastredbutton"
"#Reporting period","01-10-2018 until 31-10-2018"
"#Segment","All browsers"
"#Visit filter","All visits"
"#Event filter","All events"

"#Broadcast MHEG RCs by Popularity - Browsers"

"action_type","rc_transition"
"action_name","transition"

"destination_rc","Browsers"
"/tier1/rc/sp/SportCricket","38,449"
"/tier1/rc/en/EntertainmentNewssub1","38,114"
"/d/r/ne/ac","37,962"
"/d/r/ne/283","37,822"
"/d/r/sp/158","37,781"
"/d/r/sp/98","37,699"
"/d/r/sp/169","37,658"
"/d/r/ne/5c","37,621"
"/d/r/sp/1c5","37,594"
"/d/r/sp/15b","37,568"
"/d/r/ne/175","37,498"
"/d/r/sp/157","37,481"
"/d/r/ne/ILK","37,349"
"/d/r/ne/164","37,231"
"/tier1/rc/ne/10SimpleStory11","37,231"
"/d/r/sp/PU","37,230"
"/d/r/ne/1df","36,971"
"/d/r/sp/2fd","36,821"
"/d/r/sp/HIT","36,585"
"/tier1/rc/sp/98SimpleStory4","36,516"
"/d/r/ne/2f3","36,500"
"/c/tv_B1_EN","36,413"
"/d/r/sp/HLH","36,378"
"/d/r/ne/36","35,917"
"/d/r/ne/73","35,669"
"/d/r/sp/34b","35,597"
"/d/r/ne/59","35,472"
"/d/r/sp/6b","35,470"
"/tier1/rc/ne/NewsPolitics","35,434"
"/d/r/sp/365","35,384"
"/d/r/sp/32","35,368"
"/d/r/sp/HKV","35,260"
"/d/r/sp/2e4","35,258"
"/tier1/rc/sp/95SimpleStory1","34,973"
"/d/r/sp/226","34,834"
"/d/r/ne/2b9","34,795"
"/d/r/sp/HLU","34,603"
"/d/r/ne/IIO","34,176"
"/d/r/ne/IJT","33,945"
"/d/r/sp/31","33,887"
"/d/r/ne/127","33,866"
"/tier1/rc/ne/BusinessNewsTopStory","33,681"
"/d/r/ne/75","33,582"
"/d/r/ne/20","33,575"
"/tier1/rc/sp/95SimpleStory2","33,525"
"/d/r/ne/1d8","33,497"
"/d/r/ne/22f","33,422"
"/tier1/rc/ne/NewsUKRegionsWales","33,107"
"/d/r/ne/1c1","33,067"
"/d/r/ne/IJU","33,063"
"/d/r/ne/f6","33,030"
"/d/r/sp/333","32,976"
"/d/r/ne/5a","32,883"
"/d/r/sp/4f","32,693"
